videofile_name,hr_nameMethod,mean_distance
D:\Projects\INMCA_Scarlata\video\cohface/4/2/data.avi, circ hr green 30,13.593542851343727
D:\Projects\INMCA_Scarlata\video\cohface/4/2/data.avi, circ hr green,13.329689499575661
D:\Projects\INMCA_Scarlata\video\cohface/4/3/data.avi,hr green,19.858076888528615
D:\Projects\INMCA_Scarlata\video\cohface/4/3/data.avi, circ hr green 15,25.264967150675943
D:\Projects\INMCA_Scarlata\video\cohface/4/3/data.avi, circ hr green 30,27.24787740208219
D:\Projects\INMCA_Scarlata\video\cohface/4/3/data.avi, circ hr green,20.16907600499531
D:\Projects\INMCA_Scarlata\video\cohface/5/0/data.avi,hr green,17.270464467287233
D:\Projects\INMCA_Scarlata\video\cohface/5/0/data.avi, circ hr green 15,13.859275137971537
D:\Projects\INMCA_Scarlata\video\cohface/5/0/data.avi, circ hr green 30,13.58563931528604
D:\Projects\INMCA_Scarlata\video\cohface/5/0/data.avi, circ hr green,17.289309715906533
D:\Projects\INMCA_Scarlata\video\cohface/5/1/data.avi,hr green,9.551963174208693
D:\Projects\INMCA_Scarlata\video\cohface/5/1/data.avi, circ hr green 15,24.039055654846205
D:\Projects\INMCA_Scarlata\video\cohface/5/1/data.avi, circ hr green 30,13.778722884659283
D:\Projects\INMCA_Scarlata\video\cohface/5/1/data.avi, circ hr green,9.151560794010747
D:\Projects\INMCA_Scarlata\video\cohface/5/2/data.avi,hr green,24.48300195214257
D:\Projects\INMCA_Scarlata\video\cohface/5/2/data.avi, circ hr green 15,20.856353855696565
D:\Projects\INMCA_Scarlata\video\cohface/5/2/data.avi, circ hr green 30,22.64418762558355
D:\Projects\INMCA_Scarlata\video\cohface/5/2/data.avi, circ hr green,23.862007193191193
D:\Projects\INMCA_Scarlata\video\cohface/5/3/data.avi,hr green,13.352214716707328
D:\Projects\INMCA_Scarlata\video\cohface/5/3/data.avi, circ hr green 15,14.591385045604952
D:\Projects\INMCA_Scarlata\video\cohface/5/3/data.avi, circ hr green 30,13.387997823093485
D:\Projects\INMCA_Scarlata\video\cohface/5/3/data.avi, circ hr green,13.301605773684273
