videofile_name,hr_nameMethod,mean_distance
D:\Projects\INMCA_Scarlata\video\cohface/4/0/data.avi, circ hr green,8.114797749125586
D:\Projects\INMCA_Scarlata\video\cohface/4/1/data.avi,hr green,4.946767945389871
D:\Projects\INMCA_Scarlata\video\cohface/4/1/data.avi,hr pca,11.055841912760167
D:\Projects\INMCA_Scarlata\video\cohface/4/1/data.avi,hr hrv,22.990935392738713
D:\Projects\INMCA_Scarlata\video\cohface/4/1/data.avi,hr hrvT,22.72738632682733
D:\Projects\INMCA_Scarlata\video\cohface/4/1/data.avi, circ hr green,4.967548255326934
D:\Projects\INMCA_Scarlata\video\cohface/4/2/data.avi,hr green,1.6751196443748002
D:\Projects\INMCA_Scarlata\video\cohface/4/2/data.avi,hr pca,47.97322381938908
D:\Projects\INMCA_Scarlata\video\cohface/4/2/data.avi,hr hrv,22.12500599221209
D:\Projects\INMCA_Scarlata\video\cohface/4/2/data.avi,hr hrvT,21.760980217961578
D:\Projects\INMCA_Scarlata\video\cohface/4/2/data.avi, circ hr green,1.908874001933292
D:\Projects\INMCA_Scarlata\video\cohface/4/3/data.avi,hr green,7.247160041542843
D:\Projects\INMCA_Scarlata\video\cohface/4/3/data.avi,hr pca,6.988823743843947
D:\Projects\INMCA_Scarlata\video\cohface/4/3/data.avi,hr hrv,25.539217105618846
D:\Projects\INMCA_Scarlata\video\cohface/4/3/data.avi,hr hrvT,25.62787694674541
D:\Projects\INMCA_Scarlata\video\cohface/4/3/data.avi, circ hr green,6.474587209385705
D:\Projects\INMCA_Scarlata\video\cohface/5/0/data.avi,hr green,17.985935435456636
D:\Projects\INMCA_Scarlata\video\cohface/5/0/data.avi,hr pca,15.133937527615519
D:\Projects\INMCA_Scarlata\video\cohface/5/0/data.avi,hr hrv,11.455554174929441
D:\Projects\INMCA_Scarlata\video\cohface/5/0/data.avi,hr hrvT,14.057673099009575
D:\Projects\INMCA_Scarlata\video\cohface/5/0/data.avi, circ hr green,17.03550957526866
D:\Projects\INMCA_Scarlata\video\cohface/5/1/data.avi,hr green,5.86278248166397
D:\Projects\INMCA_Scarlata\video\cohface/5/1/data.avi,hr pca,19.072004583306683
D:\Projects\INMCA_Scarlata\video\cohface/5/1/data.avi,hr hrv,11.12049484255091
D:\Projects\INMCA_Scarlata\video\cohface/5/1/data.avi,hr hrvT,11.64887156911183
D:\Projects\INMCA_Scarlata\video\cohface/5/1/data.avi, circ hr green,6.910863049302199
D:\Projects\INMCA_Scarlata\video\cohface/5/2/data.avi,hr green,17.112880926391373
D:\Projects\INMCA_Scarlata\video\cohface/5/2/data.avi,hr pca,13.609773656007269
D:\Projects\INMCA_Scarlata\video\cohface/5/2/data.avi,hr hrv,5.7229318153209965
D:\Projects\INMCA_Scarlata\video\cohface/5/2/data.avi,hr hrvT,5.738087025022691
D:\Projects\INMCA_Scarlata\video\cohface/5/2/data.avi, circ hr green,15.743468670636302
D:\Projects\INMCA_Scarlata\video\cohface/5/3/data.avi,hr green,6.925510869640953
D:\Projects\INMCA_Scarlata\video\cohface/5/3/data.avi,hr pca,14.955879832535148
D:\Projects\INMCA_Scarlata\video\cohface/5/3/data.avi,hr hrv,6.689698640721224
D:\Projects\INMCA_Scarlata\video\cohface/5/3/data.avi,hr hrvT,13.3487710796363
D:\Projects\INMCA_Scarlata\video\cohface/5/3/data.avi, circ hr green,8.420891707778893
