videofile_name,hr_nameMethod,mean_distance
D:\Projects\INMCA_Scarlata\video\cohface\\1\\0\\data.avi,hr dynGreen,13.464285714285712
D:\Projects\INMCA_Scarlata\video\cohface\\1\\0\\data.avi,hr dynPca,21.291765324914497
D:\Projects\INMCA_Scarlata\video\cohface\\1\\0\\data.avi,hr dynHrv,11.92817826130026
D:\Projects\INMCA_Scarlata\video\cohface\\1\\1\\data.avi,hr dynGreen,9.714285714285712
D:\Projects\INMCA_Scarlata\video\cohface\\1\\1\\data.avi,hr dynPca,10.824782951854775
D:\Projects\INMCA_Scarlata\video\cohface\\1\\1\\data.avi,hr dynHrv,17.411607020005874
D:\Projects\INMCA_Scarlata\video\cohface\\1\\2\\data.avi,hr dynGreen,15.78131868131868
D:\Projects\INMCA_Scarlata\video\cohface\\1\\2\\data.avi,hr dynPca,18.342656790723087
D:\Projects\INMCA_Scarlata\video\cohface\\1\\2\\data.avi,hr dynHrv,16.831284026051478
D:\Projects\INMCA_Scarlata\video\cohface\\1\\3\\data.avi,hr dynGreen,14.372252747252745
D:\Projects\INMCA_Scarlata\video\cohface\\1\\3\\data.avi,hr dynPca,40.00804191204743
D:\Projects\INMCA_Scarlata\video\cohface\\1\\3\\data.avi,hr dynHrv,9.61659657114744
D:\Projects\INMCA_Scarlata\video\cohface\\2\\0\\data.avi,hr dynGreen,2.732467532467542
D:\Projects\INMCA_Scarlata\video\cohface\\2\\0\\data.avi,hr dynPca,10.857035229963408
D:\Projects\INMCA_Scarlata\video\cohface\\2\\0\\data.avi,hr dynHrv,26.396882485728742
D:\Projects\INMCA_Scarlata\video\cohface\\2\\1\\data.avi,hr dynGreen,1.3317948717948696
D:\Projects\INMCA_Scarlata\video\cohface\\2\\1\\data.avi,hr dynPca,24.329641592293527
D:\Projects\INMCA_Scarlata\video\cohface\\2\\1\\data.avi,hr dynHrv,19.16614228219061
D:\Projects\INMCA_Scarlata\video\cohface\\2\\2\\data.avi,hr dynGreen,5.311507936507947
D:\Projects\INMCA_Scarlata\video\cohface\\2\\2\\data.avi,hr dynPca,18.976245286328155
D:\Projects\INMCA_Scarlata\video\cohface\\2\\2\\data.avi,hr dynHrv,15.579268145040203
D:\Projects\INMCA_Scarlata\video\cohface\\2\\3\\data.avi,hr dynGreen,4.565151515151522
D:\Projects\INMCA_Scarlata\video\cohface\\2\\3\\data.avi,hr dynPca,12.319696969696967
D:\Projects\INMCA_Scarlata\video\cohface\\2\\3\\data.avi,hr dynHrv,21.143746480145175
D:\Projects\INMCA_Scarlata\video\cohface\\3\\0\\data.avi,hr dynGreen,4.712121212121211
D:\Projects\INMCA_Scarlata\video\cohface\\3\\0\\data.avi,hr dynPca,8.247907249288462
D:\Projects\INMCA_Scarlata\video\cohface\\3\\0\\data.avi,hr dynHrv,36.274959485597776
D:\Projects\INMCA_Scarlata\video\cohface\\3\\1\\data.avi,hr dynGreen,3.9696969696969773
D:\Projects\INMCA_Scarlata\video\cohface\\3\\1\\data.avi,hr dynPca,20.62256822367319
D:\Projects\INMCA_Scarlata\video\cohface\\3\\1\\data.avi,hr dynHrv,23.265390668448884
D:\Projects\INMCA_Scarlata\video\cohface\\3\\2\\data.avi,hr dynGreen,10.354621307773067
D:\Projects\INMCA_Scarlata\video\cohface\\3\\2\\data.avi,hr dynPca,10.844485197706353
D:\Projects\INMCA_Scarlata\video\cohface\\3\\2\\data.avi,hr dynHrv,46.1241935483871
D:\Projects\INMCA_Scarlata\video\cohface\\3\\3\\data.avi,hr dynGreen,4.209090909090909
D:\Projects\INMCA_Scarlata\video\cohface\\3\\3\\data.avi,hr dynPca,24.731318774335527
D:\Projects\INMCA_Scarlata\video\cohface\\3\\3\\data.avi,hr dynHrv,19.30353194175637
D:\Projects\INMCA_Scarlata\video\cohface\\4\\0\\data.avi,hr dynGreen,9.655681818181817
D:\Projects\INMCA_Scarlata\video\cohface\\4\\0\\data.avi,hr dynPca,22.63818642223338
D:\Projects\INMCA_Scarlata\video\cohface\\4\\0\\data.avi,hr dynHrv,16.74945710014125
D:\Projects\INMCA_Scarlata\video\cohface\\4\\1\\data.avi,hr dynGreen,5.722222222222223
D:\Projects\INMCA_Scarlata\video\cohface\\4\\1\\data.avi,hr dynPca,35.60313075506446
D:\Projects\INMCA_Scarlata\video\cohface\\4\\1\\data.avi,hr dynHrv,15.721875259760024
D:\Projects\INMCA_Scarlata\video\cohface\\4\\2\\data.avi,hr dynGreen,1.1111111111111107
D:\Projects\INMCA_Scarlata\video\cohface\\4\\2\\data.avi,hr dynPca,26.972989564149785
D:\Projects\INMCA_Scarlata\video\cohface\\4\\2\\data.avi,hr dynHrv,29.6397947930206
D:\Projects\INMCA_Scarlata\video\cohface\\4\\3\\data.avi,hr dynGreen,3.393333333333332
D:\Projects\INMCA_Scarlata\video\cohface\\4\\3\\data.avi,hr dynPca,13.72629834254144
D:\Projects\INMCA_Scarlata\video\cohface\\4\\3\\data.avi,hr dynHrv,34.23569765245043
D:\Projects\INMCA_Scarlata\video\cohface\\5\\0\\data.avi,hr dynGreen,13.05
D:\Projects\INMCA_Scarlata\video\cohface\\5\\0\\data.avi,hr dynPca,38.1061694290976
D:\Projects\INMCA_Scarlata\video\cohface\\5\\0\\data.avi,hr dynHrv,11.390808580661083
D:\Projects\INMCA_Scarlata\video\cohface\\5\\1\\data.avi,hr dynGreen,2.77666083916084
D:\Projects\INMCA_Scarlata\video\cohface\\5\\1\\data.avi,hr dynPca,11.256969664773528
D:\Projects\INMCA_Scarlata\video\cohface\\5\\1\\data.avi,hr dynHrv,20.26902844084272
D:\Projects\INMCA_Scarlata\video\cohface\\5\\2\\data.avi,hr dynGreen,12.97948717948717
D:\Projects\INMCA_Scarlata\video\cohface\\5\\2\\data.avi,hr dynPca,37.986485337866554
D:\Projects\INMCA_Scarlata\video\cohface\\5\\2\\data.avi,hr dynHrv,15.192308088980417
D:\Projects\INMCA_Scarlata\video\cohface\\5\\3\\data.avi,hr dynGreen,22.11813186813187
D:\Projects\INMCA_Scarlata\video\cohface\\5\\3\\data.avi,hr dynPca,23.547158642462517
D:\Projects\INMCA_Scarlata\video\cohface\\5\\3\\data.avi,hr dynHrv,20.117448700575633
